ID;Puntuacion;Porcentaje;Direccion;Guion;Argumento;Genero;Duracion;Titulo
tt10021210;;;Sherry Rashidan;['Daniel Curalli', 'Wynn Siu'];First-time robber Liam breaks into the home of a confused elderly woman, Mrs. Green, who's suffering from dementia. Mrs. Green confuses Liam for her son. In order to save himself, Liam plays along as her son.;['Drama'];;Forget Me Not
tt10021786;;;Julio Ramos;['Patrick Steward', 'Ydalie Turk'];;['Drama'];;Open House
tt0011216;7.0;70.0;Germaine Dulac;['Louis Delluc'];Coveted by two different men, a woman turns to a third man instead.;['Drama'];67.0;La fête espagnole
tt0083060;6.6;66.0;Nuanxing Zhang;['Tuo Li', 'Nuanxing Zhang'];Sha Ou is a volleyball player and works hard against her injuries resulting from training. In spite of her defeat in an international competition and the the death of her boyfriend, she insists on her training.;['Drama', 'Deporte'];84.0;Sha Ou
tt0116991;7.3;73.0;John Bailey;['Ron Hansen'];Set in a turn-of-the-century religious community about a nun who has recently taken her vows.;['Drama'];101.0;Mariette in Ecstasy
tt0339917;5.9;59.0;Junli Zheng;['Xiao Yemu', 'Junli Zheng'];Li Ke and Zhang Ying marry and overcome difficulties working in newly liberated Shanghai in 1947.;['Drama'];;Wo men fu fu zhi jian
tt0385887;6.8;68.0;Edward Norton;['Edward Norton', 'Jonathan Lethem'];En el Nueva York de los años 50, un solitario detective privado afectado por el síndrome de Tourette se aventura a resolver el asesinato de su mentor y único amigo.;['Crimen', 'Drama', 'Misterio'];144.0;Huérfanos de Brooklyn
tt0441881;6.8;68.0;Kriv Stenders;['Stuart Beattie', 'James Nicholas', 'Karel Segers'];En agosto de 1966, en una plantación de caucho vietnamita llamada Long Tan, 108 soldados jóvenes y en su mayoría sin experiencia que vienen de Australia y Nueva Zelanda luchan por sus vidas contra 2500 soldados del Viet Cong.;['Acción', 'Drama', 'Bélico'];118.0;Danger Close: La batalla de Long Tan
tt0783640;6.8;68.0;Todd Robinson;['Todd Robinson'];"34 años tras su muerte, el piloto William H. ""Pits"" Pitsenbarger es galardonado con el mayor honor militar por sus acciones en el campo de batalla.";['Drama', 'Bélico'];116.0;Con todos los honores
tt0800325;7.0;70.0;Jeff Tremaine;['Rich Wilkes', 'Amanda Adelson', 'Tommy Lee'];La historia de cómo Mötley Crüe llegó a ser uno de los grupos de rock'n roll más conocidos de la historia.;['Biografía', 'Comedia', 'Drama'];107.0;The Dirt
tt0810836;5.3;53.0;Gregor Jordan;['Jack Thorne', 'Tim Winton'];The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.;['Crimen', 'Drama', 'Romance'];105.0;Dirt Music
tt0858419;5.5;55.0;Dan Pritzker;['Dan Pritzker', 'David Rothschild'];A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.;['Drama'];108.0;Bolden
tt10001116;;;Fabio del Greco;['Fabio del Greco'];;['Drama'];;Mistero di un Impiegato
tt10005030;8.1;81.0;Rob Levinson;['Rob Levinson'];A self centered radio personality, learns the most valuable life lesson on the morning of September 11, 2001 - humility. The ever growing popularity of the Paul Lavigan Morning Show takes on new depths when Paul receives what seems to be his everyday mundane typical call. In the midst of conversation, a thunderous roar changes the course of both caller and Paul.;['Drama'];39.0;Where Were You
tt10003808;;;Leanne Nicole;['Leanne Nicole'];A day in life of a teenager that resides in a dysfunctional home.;['Drama'];;Okay
tt10003792;;;Dinesh Lingden;['Dinesh Lingden'];;['Drama'];;Adalat
tt10004266;;;Lina Jalala;['Giorgio Paoletti'];;['Drama'];14.0;Hanna Wins
tt10006156;;;Dinesh Babu;['Akshay Krishnan', 'Vjay Kumar', 'Ashwaria Ullas'];Akshay, a young and handsome college student and a talented dancer, enjoys a colorful college life. Although very popular among his peers, Akshay, who is smitten by Radhika, feels dejected after she neglects him. To make matters worse, Akshay's life is turned upside down due to one unexpected incident. How he copes with it, forms the crux.;['Drama'];128.0;Krishnam
tt10006012;;;Agostino Devastato;['Agostino Devastato'];Cafèsigaret is an unexpected meeting between Silvio and Giggino in a smoky bar lost among the quarries of the suburbs of Naples. A meeting that happens today after twenty years when a dramatic secret has divided their paths.;['Drama'];14.0;Cafèsigaret
tt10005506;;;George Salcedo;['George Salcedo'];A young man struggles to deal with his father's life sentence in prison. As a result of this, he goes after the men who got his father locked up.;['Crimen', 'Drama'];4.0;Witness to Murder
tt10005850;;;Dan Hewitt Owens;['Dan Hewitt Owens'];;['Drama'];;Good Friends
tt10002568;;;Natalia Montecinos;['Cristian Costa', 'Natalia Montecinos'];MIA, who suddenly stopped talking, needs to find her lost words in order to reveal the truth behind crimes she witnessed.;['Drama', 'Suspense'];;Voiceless
tt10004822;;;Ryan Henry Knight;['Ryan Henry Knight'];A girl haunted by grief is reconnected with her estranged sister as they come to terms with the dark truth behind their distanced relationship.;['Drama', 'Misterio'];16.0;Ludere
tt10003990;;;Valeri Lilov;['Valeri Lilov'];In an old caravan, a lone mentally ill mother tries to fight her own demons while her little daughter, never seen outside world, attempts to communicate and help her out.;['Drama'];;Child of Wisdom
tt10003442;9.3;93.0;K.J. Chaves Santos;['K.J. Chaves Santos'];In the Azores Islands, three young teenagers hoping to reunite their Coven.;['Drama', 'Fantasía'];8.0;The Coven
tt10003908;;;Xavi Casanova;['Xavi Casanova'];A young couple with communication issues starts to finally share intimacy when they are stuck home with no electricity and in darkness.;['Drama'];;Candle Light
tt10006270;4.9;49.0;Tilde Harkamp;['Claudia Boderke', 'Lars Mering'];Single mom Eva goes on a weekend of hotel, sauna, bikini wax and pheasant hunting with her ex's cute, young girlfriend, Bella, and their married friend, Marlene, so she can have an affair there. Nothing goes as planned.;['Comedia', 'Drama'];92.0;Jagtsæson
tt10003866;;;Carol Bellhouse;['Carol Bellhouse'];With her dreams purveying the past and future, a young woman is unsure if her adventure in love is ahead of her or a memory.;['Drama'];;Erewhile
tt10003828;;;Paul Tully;['Paul Tully'];;['Drama'];;Atonement
tt10002654;6.4;64.0;Kannan Thamarakkulam;['Dinesh Pallath'];It is the story of a warrior against food adulteration and challenges he faces because of that.;['Drama'];139.0;Pattabhiraman
tt10003492;;;Jon Perry;['Adam Masnyk', 'Jon Perry'];After communication ceases, Kevin breaks out of prison to find his lifelong girlfriend, but is met with some unfortunate news.;['Drama'];;Facing Life
tt10004074;;;Bijoy Banerjee;['Shabir Sheikh'];Ali wants to be a boxer, only he is blind. In the eyes of the sighted his ambitions are impossible. But Ali is not concerned about their opinions or approval, his dream is all that matters.;['Drama'];;Ali the Blind Boxer
tt10005262;;;C. Nathaniel Brown;['C. Nathaniel Brown', 'Kenya Hendricks'];When love is warming everyone's heart around the office, Ellis seems to be getting the cold shoulder. But the office won't be the same come Friday.;['Drama'];10.0;For Ellis
tt10005520;9.8;98.0;Branden J. Stanley;['Gregory Krajewski', 'Christopher Magruder', 'Julie Nelson'];A supernatural thriller about where heaven and earth meet. A captivating short film about the coming together of heaven and earth, The Veil Removed depicts the depth and power of the Mass as seen by saints and mystics, revealed by scripture and explored in the Catechism of the Catholic Church.;['Drama'];7.0;The Veil Removed
tt10004574;4.7;47.0;Rodney Jackson;['Tavares M. Wilson'];Jacob and Mia Patterson had a seemingly perfect life until one decision has them questioning everything that's happened between them.;['Drama', 'Suspense'];78.0;Paradise
tt10005516;8.6;86.0;Jason Fragale;['Jason Fragale', 'Christopher Fragale'];Raffi, still plagued by grief from his mother's death, has his friendship tested by terminally ill David, who begs for help during his dying days.;['Drama'];17.0;Riviera
tt10006180;;;Young Man Kang;['Heaven Choi', 'Young Man Kang'];;['Drama'];17.0;Destiny
tt10005186;;;Ryan Berry;['Alexandera Yetman'];A woman decides whether to heed the signs the universe is sending her about her desires.;['Drama'];11.0;Along The Line
tt10006764;;;Lauren Kelly;['Lauren Kelly'];Two slaves are put to the test when their owner forces them to fight each other.;['Drama', 'Historia'];11.0;Chadwick Manor
tt10006412;;;Ross Heath;['Ross Heath'];;['Drama'];;Controlling Intentions
tt10005028;;;Maverick Knox;['Maverick Knox'];;['Drama'];6.0;The Chair
tt10005198;;;Nathaniel Shields;['Nathaniel Shields'];A young girl moves to Hollywood against her father's wishes in hopes of becoming a famous actress. Will she finally gain his support?;['Drama'];14.0;FantasyLand
tt10006276;;;Aljoyus Eccles;['Aljoyus Eccles'];Jaran who is the outside son for Mr. Howard is struggling with the fact of not being accepted by his own brothers and sisters. Little do he know the Howards has their own secrets and issues they are trying to cover up. Will Jaran ever get the chance to be accepted by his family before its too late or will their secrets and issues be everyone's demise.;['Drama'];;He's My Daddy Too
tt10006640;;;Pau Domingo;['Àlex Clusellas', 'Jaume Cortada', 'Gabriel Di Pastena'];;['Drama', 'Fantasía'];;El Barber
tt10006238;6.4;64.0;Noémie Merlant;['Noémie Merlant'];While trying to save her family from a return to the street, Shakira, a young gypsy woman, meets Marius, a member of a robber gang.;['Drama'];27.0;Shakira
tt10005864;6.5;65.0;Sudip Chakraborty;['Debal Guha Roy'];"Subham Biswas ""Shataf Figar"" a deft mountain climber goes missing on his dream expedition to climb the Everest. His body couldn't be rescued because of the harsh weather. The absence of Subham creates a void in the life of his wife Mrittika ""Indrani Halder"" and his mother ""Swatilekha Sengupta"". The film revolves round the strained relationship between the two women in... Leer todo";['Drama'];101.0;Barof 2019
tt10005378;5.2;52.0;Michael Anthony Giudicissi;['Michael Anthony Giudicissi'];Billy the Kid, Pat Garrett, and 14 of his friends and enemies are interviewed about The Kid's life, death, and deadly participation in the Lincoln County War.;['Drama', 'Del oeste'];104.0;In Their Own Words, Billy the Kid & The Lincoln County War
tt10006258;;;Eric Ogden;['Eric Ogden'];When her distressed younger sister isolates herself in a secluded motel, Caitlin takes it upon herself to do an intervention. But as day turns to night and her sister's paranoia takes hold, the world she describes to Caitlin begins to seem almost plausible.;['Drama', 'Suspense'];27.0;Motel
tt10005966;;;Anthony Lucido;['Anthony Lucido'];Over the course of a tense weekend, a young man tries to reclaim power over his guardian and stalkers.;['Drama'];15.0;Tender
tt10007968;;;Andrés Cámara;['Emma Aguirre', 'Andrés Cámara'];A basketball player is in the final. He suffers an accident, from that moment he will change his life, he will have to start from scratch. She and her grandmother will have to deal with several experiences, how will it affect their lives? what would you do?;['Crimen', 'Drama'];14.0;Partir de Cero
tt10010080;;;Gerard Corporon;['Gerard Corporon'];;['Drama'];;Cheyenne
tt10010352;;;Hayden Hayes;['Hayden Hayes'];"Set in one room, three friends are packing up their close friends house; they must have it cleared by week's end. One friend hasn't shown up yet; He arrives, late, and the others start asking questions he's reluctant to answer.";['Drama'];13.0;Stay For The Weak
tt10010034;;;Jess Taylor;['Kenzie Long'];A college student struggles with social anxiety at a causal dorm gathering.;['Drama'];2.0;Anxiety
tt10010178;;;Michael Wolfe;['Michael Wolfe'];;['Drama'];;The Theology of Friendship
tt10007876;;;Michael Thomas Griffin;['Michael Thomas Griffin'];A lonely botanist is freed from misery after the blossoming of a mysterious flower.;['Drama'];;Memoria
tt10010626;;;Brendan Prost;['Brendan Prost'];At a moment of mutual desperation, two restless souls in different cities match online and decide to meet up at a point of compromise. When they come face-to-face in the small town of Bellingham, they fail to connect, and are left to wander the coastline-- basking in the luminosity of their shared despair.;['Drama'];12.0;Bellingham
tt10010072;;;Ganesh Davuluri;['Gunjan Kuthiala', 'Manisha Sri'];;['Drama', 'Familiar'];;NRI Story
tt10007268;5.7;57.0;Andrey Valdberg;['Andrey Koreshkov'];;['Drama'];60.0;Mesto!
tt10010368;8.0;80.0;Daniel Gordon;['Stan Grant'];"""The Australian Dream"" is a theatrical feature documentary that uses the remarkable and inspirational story of AFL legend Adam Goodes as the prism through which to tell a deeper, more powerful story about race, identity, and belonging.";['Documental', 'Drama', 'Deporte'];105.0;The Australian Dream
tt10010720;7.0;70.0;Melissa Anastasi;['Melissa Anastasi'];A neglected 11-year-old girl steals from pregnant women at the local swimming pool.;['Drama'];17.0;Chlorine
tt10010698;;;Ana Atanassova;['Ana Atanassova'];In a remote village in Bulgaria a German teenager with a rare bone disease finds hope and courage in the unlikely friendship with a sleepwalking kid. When Stefan is dragged by his father to the mountains to hike and heal, his apathy is challenged by a haunting melody he hears one night.;['Drama'];15.0;Freaky Forest
tt10006822;;;George Salcedo;['George Salcedo', 'Andrew A. Smith'];The story follows Ryan Dean West as he remembers past events in his journey of high school.;['Drama'];4.0;Winger
tt10010448;8.1;81.0;Ellen Marmol;['Dani Fiondella', 'Alex McFry'];Inspired by true events that took place in White Plains, Alabama in 1959, Viola tells the story of Viola Hyatt and the night her life changed forever.;['Drama'];13.0;Viola
tt10011250;;;Amanda Michelle Tenney;['Amanda Michelle Tenney'];To protect her heart, Sophie is determined to cut ties with the womanizing man she has come to fall in love with, as she can no longer take being one of many.;['Drama', 'Romance'];10.0;Delicious Poison
tt10009614;;;Pedro Tamames;['Pedro Tamames'];A girl spends her time eavesdropping on a young couple whose relationship is falling apart.;['Drama'];10.0;Leaves
tt10011320;6.4;64.0;Michael Barnett;['Michael Barnett', 'Amanda C. Griffin', 'Michael Mahaffie'];Transgender high school athletes from across the country compete at the top of their fields, while also challenging the boundaries and perceptions of fairness and discrimination.;['Documental', 'Drama', 'Deporte'];88.0;Changing the Game
tt10011782;;;Vladislav Rytkov;['Yuriy Afanasyev-Shirokov'];Six year old Kolya's father is a professional criminal who doesn't live with his family. He visits his son and takes him on countryside drives from time to time. Naturally, Kolya at his young age can't fully comprehend what's happening. He loves his daddy and in a way imitates him in effort to protect this love from a prostitute, who happens to be in the way;['Drama'];15.0;He's Mine
tt10009368;6.9;69.0;Adrian Silisteanu;['Adrian Silisteanu', 'Claudia Silisteanu'];Sporadic gunshots echo among the ruins of a village which, though abandoned, is an objective of great import for the authorities. This forces two young men to lead a hard negotiation, both for the fate of the settlement and for their own future.;['Drama'];17.0;Afganistanii
tt10008772;;;Marinthia Gutierrez;['Isobel Hyland', 'Sandra Itzel Licea'];A young woman comes to terms with the death of her girlfriend.;['Drama'];;Something
tt10008784;6.3;63.0;Annie Silverstein;['Annie Silverstein', 'Johnny McAllister', 'Josh Melrod'];"In a near-abandoned subdivision west of Houston, a wayward teen runs headlong into her equally willful and unforgiving neighbor, an aging bull rider who's seen his best days in the arena; it's a collision that will change them both.";['Drama'];108.0;Bull
tt10011102;7.2;72.0;Aditya Sarpotdar;['Faizal Akhtar', 'Shrabani Deodhar', 'Sambhav Khetarpal'];The journey of Indian film industry's first stunt woman Reshma Pathan, it will trace the life of Reshma and her stint in movies as a body double for various actresses. Bidita Bag plays the lead role of feisty stunt-woman.;['Acción', 'Biografía', 'Drama'];106.0;The Sholay Girl
tt10009148;6.7;67.0;Sami Khan;['King Bruce Franks III', 'Bruce Franks Jr.'];Bruce Franks Jr. is a 34-year-old battle rapper, Ferguson activist and state representative from St. Louis, Missouri. Known as Superman to his constituents, he is a political figure the likes of which you've never seen - full of contradictions and deep insights, who has overcome unspeakable loss to become one of the most exciting and unapologetic young leaders in the ... Leer todo;['Documental', 'Drama'];28.0;St. Louis Superman
tt10009434;5.3;53.0;Kenneth R. Frank;['Kenneth R. Frank'];One man learns to die. Another man learns to live.;['Comedia', 'Drama'];81.0;Family Obligations
tt10011336;6.3;63.0;Sasie Sealy;['Banban Cheng', 'Sasie Sealy'];Ambientada en el barrio chino de la ciudad de Nueva York, una abuela china malhumorada y fumadora empedernida va por todo o nada en el casino, aterrizando en el lado equivocado de la suerte y en medio de una guerra de pandillas.;['Comedia', 'Crimen', 'Drama'];87.0;Lucky Grandma
tt10013050;;;Quentin Persia;['Quentin Persia', 'Pierre Sabrou'];;['Drama', 'Fantasía'];13.0;Passage
tt10013166;;;Denis McArdle;['Denis McArdle'];A young boy wants a timeworn trumpet from an irascible Antique shop owner.;['Drama'];16.0;The Silver Lining
tt10011976;;;Eric Chan;['Micah Burns', 'Eric Chan', 'Andrew Hunt'];Father and Son survive a difficult time through the use of their imagination.;['Drama'];11.0;Agente Secret
tt10009878;5.5;55.0;Anand Bhatt;['Anand Bhatt'];Crypto Wall 3.0. A ransomeware which targets nearly 10,000 people everyday, has acquired a new target, The FBI. Ali Khan, an employee of a cyber security firm is taken into custody, but things aren't always as they seem. The FBI will have to dig in deep to find out how this cyber crime really works, and what sort of role bitcoins play in aiding such hackers. Based on ... Leer todo;['Drama'];60.0;Encrypted: The Cyber Crime
tt10011610;;;Pasquale Avella;['Pasquale Avella'];A working class couple's life is turned upside down when they try to have a baby in a dystopian future where the government controls birthing rights.;['Drama'];15.0;iParent
tt10014328;;;Amanda Hinkley;['Amanda Hinkley'];When Emma's boyfriend leaves for a guys' night, her deepest insecurities and wildest fears about their relationship come to life before her very eyes.;['Comedia', 'Drama'];;Uncertainship
tt10014510;;;Bree Webber;['Bree Webber'];In 2022 after Roe v. Wade is overturned, a woman struggles to find the care that she needs after being sexually assaulted.;['Drama'];10.0;It Happened One Night
tt10015812;6.2;62.0;Awi Suryadi;['Agasyah Karim', 'Khalid Kashogi', 'Awi Suryadi'];Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.;['Drama', 'Terror', 'Misterio'];91.0;Death Whisper
tt10015768;;;Michael Chaput;['Jarrett Barnes', 'Michael Chaput'];Ali, grieving from her fathers death, anticipates her distant sister's arrival after missing the funeral. While the two are cleaning out their father's house, Ali finds a hidden time travel machine, that may just be the only thing that can bring the two together.;['Drama', 'Ciencia ficción'];;42
tt10014590;6.0;60.0;Stephan Eigenmann;['Stephan Eigenmann'];A mother is suppressing her fear of losing her daughter in combat through the usage of futuristic technology.;['Drama'];14.0;Rewind
tt10014928;;;Kristal Glover-Wing;['Kristal Glover-Wing'];Two best friends lives are disrupted when one moves away, only to eventually find each other in the most unsuspecting way.;['Drama', 'Familiar'];;It's a Small World
tt10014950;;;Lisa Sanchez;['Michelle Sanchez'];;['Drama'];3.0;Heaven
tt10015644;7.6;76.0;Marco Romano;['Marco Romano'];An arthouse film consisting of a spinning red triangle in 2019 San Marino.;['Drama'];719.0;I Watched TV Show and Died from Blood
tt10014580;;;Billy Rudberg;['Sean Walsh'];A dejected man holed up in a motel room, aided by a phone sex operator, attempts reincarnating an absent lover. Ultimately blurring the lines between reality and fiction.;['Drama', 'Romance'];17.0;Hanging on a Telephone
tt10014298;;;Arepo;['Arepo', 'Alberto Bona', 'Federico Cicardi'];A relaxing walk in the countryside unexpectedly turns into an existential mystery.;['Comedia', 'Drama'];5.0;Piercing Stillness
tt10014838;6.2;62.0;Daria Onyshchenko;['Claudia Lehmann', 'Daria Onyshchenko'];Un maestro de ucraniano y una estudiante adolescente rebelde, ambos de la ciudad oriental de Luhansk, se enamoran durante el tiempo tumultuoso de la ocupación de la ciudad por parte de los separatistas prorrusos.;['Drama', 'Romance', 'Bélico'];105.0;Zabuti
tt10014708;;;Kenneth Ross;['Kenneth Ross'];;['Drama'];14.0;Bluefish
tt10014564;;;Alejandro Cervantes Polanco;['Alejandro Cervantes Polanco'];Don Hector, seeks to keep alive the memory of his wife by keeping alive her roses until he discovers that someone is stealing them, unveil his darkest and most hidden side.;['Drama'];18.0;Don Héctor
tt10015248;6.7;67.0;Çigdem Bozali;['Çigdem Bozali', 'Elif Akarsu Polat'];"The separation from her first love makes Zeynep into a lonesome woman; trying to find her lost love in letters she writes to prison inmates, she is led to one sentenced to life in prison.";['Drama', 'Romance'];104.0;Kader Postasi
tt10015518;9.2;92.0;Mariana Arriaga;['Guillermo Arriaga'];A couple travels to Cuba for a romantic getaway. Paula convinces Lorenzo to take a detour at the tobacco plantations in the Viñales region. On the way, their vehicle hits something. The accident will lead the couple into a moral conflict.;['Drama'];;La Hora Cero
tt10019160;;;Hayley Tibbenham;['Hayley Tibbenham'];When Alice, a plus-sized, jaded and seemingly insecure teenage girl, moves to a small town in northern Michigan, she develops a budding romance with Elliot, a sunny high school golden boy. However, this romance quickly leads to the discovery that she is not some washed-out stereotype, but something farthest from it.;['Comedia', 'Drama'];14.0;Inhuman
tt10019100;7.0;70.0;Alicia K. Harris;['Alicia K. Harris'];A young girl wears her afro to school on picture day and must deal with the unexpected consequences.;['Drama'];11.0;Pick
tt10019402;7.0;70.0;P.R. Arun;['P.R. Arun'];The film revolves around the struggles faced by Alice, a cyclist.;['Drama', 'Deporte'];122.0;Finals
tt0062336;6.4;64.0;Raúl Ruiz;['Raúl Ruiz', 'Omar Saavedra Santis'];La esposa de un hombre se ha suicidado y se le aparece como un fantasma, siguiéndolo a todas partes y cambiando su personalidad.;['Drama'];70.0;El tango del viudo y su espejo deformante
tt0383477;6.3;63.0;Dana Offenbach;['Dana Offenbach'];LOVE & ORGASMS is a dramatic comedy about women's relationships that explores the emotional challenges of healing a broken heart and the importance of sexual pleasure for women. After a heartbreaking experience, advertising executive Donna Greenberg throws herself into her work. Not ready to pursue another relationship, she finds sex without the confines of commitment... Leer todo;['Drama'];82.0;Love & Orgasms
